,dataset,index,pipe1,pipe2,p,smd,nsub
0,001-2014,0,ACM+MDM(Grid),ACM+MDM(Grid),0.001953125,0.0,9
1,001-2014,1,ACM+TGSP+SVM(Grid),ACM+MDM(Grid),0.001953125,1.020016632472974,9
2,001-2014,2,CSP+LDA,ACM+MDM(Grid),0.97265625,-0.5142876615543311,9
3,001-2014,3,Cov+EN,ACM+MDM(Grid),0.5078125,-0.1487120376022581,9
4,001-2014,4,DeepConvNet,ACM+MDM(Grid),0.98828125,-0.7345642927402993,9
5,001-2014,5,EEGNet_8_2,ACM+MDM(Grid),0.958984375,-0.5494587244070129,9
6,001-2014,6,FgMDM,ACM+MDM(Grid),0.55859375,-0.2755336752272399,9
7,001-2014,7,MDM,ACM+MDM(Grid),0.998046875,-0.6779901633522707,9
8,001-2014,8,ACM+MDM(MDOP),ACM+MDM(Grid),0.970703125,-0.49425086426926806,9
9,001-2014,9,ACM+TGSP+SVM(MDOP),ACM+MDM(Grid),0.658203125,-0.2735191475056144,9
10,001-2014,10,ShallowConvNet,ACM+MDM(Grid),0.943359375,-0.5311322747043278,9
11,001-2014,11,TANG+SVM,ACM+MDM(Grid),0.544921875,-0.21474366654720736,9
12,001-2014,12,ACM+MDM(Grid),ACM+TGSP+SVM(Grid),0.998046875,-1.020016632472974,9
13,001-2014,13,ACM+TGSP+SVM(Grid),ACM+TGSP+SVM(Grid),0.001953125,0.0,9
14,001-2014,14,CSP+LDA,ACM+TGSP+SVM(Grid),0.998046875,-0.6677048651362386,9
15,001-2014,15,Cov+EN,ACM+TGSP+SVM(Grid),0.986328125,-0.4997251583831299,9
16,001-2014,16,DeepConvNet,ACM+TGSP+SVM(Grid),0.998046875,-0.843715096927594,9
17,001-2014,17,EEGNet_8_2,ACM+TGSP+SVM(Grid),0.982421875,-0.645012288796983,9
18,001-2014,18,FgMDM,ACM+TGSP+SVM(Grid),0.998046875,-0.5352732771055225,9
19,001-2014,19,MDM,ACM+TGSP+SVM(Grid),0.998046875,-0.8138266404977252,9
20,001-2014,20,ACM+MDM(MDOP),ACM+TGSP+SVM(Grid),0.998046875,-0.7352644541465705,9
21,001-2014,21,ACM+TGSP+SVM(MDOP),ACM+TGSP+SVM(Grid),0.962890625,-0.5518125654292272,9
22,001-2014,22,ShallowConvNet,ACM+TGSP+SVM(Grid),0.998046875,-0.6963634616976674,9
23,001-2014,23,TANG+SVM,ACM+TGSP+SVM(Grid),0.998046875,-0.5274994952566412,9
24,001-2014,24,ACM+MDM(Grid),CSP+LDA,0.029296875,0.5142876615543311,9
25,001-2014,25,ACM+TGSP+SVM(Grid),CSP+LDA,0.001953125,0.6677048651362386,9
26,001-2014,26,CSP+LDA,CSP+LDA,0.001953125,0.0,9
27,001-2014,27,Cov+EN,CSP+LDA,0.001953125,0.7348634616029072,9
