,Unnamed: 0,score,score_precision,score_recall,score_f1,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
0,0,0.94609374,0.86784315,0.8625,0.861807,61.215927,160.0,2.0424223,1,session_0,15,1,002-2014,ACM+MDM(Grid)
1,1,0.8492187,0.78305787,0.78125,0.78081506,0.39081126,160.0,0.012098329,1,session_0,15,1,002-2014,Cov+EN
2,2,0.81640625,0.7476564,0.74375,0.7424213,0.657671,160.0,0.021055834,1,session_0,15,1,002-2014,CSP+LDA
3,3,0.9867188,0.9237367,0.91875,0.91849804,332.809,160.0,10.960868,1,session_0,15,1,002-2014,ACM+TGSP+SVM(Grid)
4,4,0.8296875,0.7715354,0.7625,0.7598804,0.28273454,160.0,0.008992555,1,session_0,15,1,002-2014,FgMDM
5,5,0.7554687,0.7041072,0.7,0.6988464,0.10878344,160.0,0.0032003678,1,session_0,15,1,002-2014,MDM
6,6,0.828125,0.7510324,0.74375,0.7412616,0.40684214,160.0,0.0126921935,1,session_0,15,1,002-2014,TANG+SVM
0,0,0.909375,0.8292889,0.825,0.8232123,66.63231,160.0,4.7719765,2,session_0,15,1,002-2014,ACM+MDM(Grid)
1,1,0.9265625,0.8414706,0.8375,0.8366697,0.43200397,160.0,0.025868617,2,session_0,15,1,002-2014,Cov+EN
2,2,0.91875,0.8627636,0.85625,0.85469544,1.3035972,160.0,0.07765984,2,session_0,15,1,002-2014,CSP+LDA
3,3,0.9171875,0.8472059,0.84375,0.8427029,364.42426,160.0,26.04887,2,session_0,15,1,002-2014,ACM+TGSP+SVM(Grid)
4,4,0.8960937,0.852501,0.85,0.849434,0.18233338,160.0,0.012896261,2,session_0,15,1,002-2014,FgMDM
5,5,0.903125,0.83989143,0.83125,0.8286956,0.16691227,160.0,0.0114203645,2,session_0,15,1,002-2014,MDM
6,6,0.91015625,0.852499,0.84375,0.84194887,0.48542595,160.0,0.02931527,2,session_0,15,1,002-2014,TANG+SVM
0,0,1.0,0.9882353,0.9875,0.9874878,71.50886,160.0,4.8883853,3,session_0,15,1,002-2014,ACM+MDM(Grid)
1,1,1.0,1.0,1.0,1.0,0.43925005,160.0,0.026513545,3,session_0,15,1,002-2014,Cov+EN
2,2,0.996875,0.9698039,0.96875,0.9687194,1.1747706,160.0,0.06996518,3,session_0,15,1,002-2014,CSP+LDA
3,3,1.0,1.0,1.0,1.0,417.08124,160.0,29.824709,3,session_0,15,1,002-2014,ACM+TGSP+SVM(Grid)
4,4,1.0,1.0,1.0,1.0,0.18654013,160.0,0.012101038,3,session_0,15,1,002-2014,FgMDM
5,5,1.0,0.9882353,0.9875,0.9874878,0.06984325,160.0,0.004429542,3,session_0,15,1,002-2014,MDM
6,6,1.0,1.0,1.0,1.0,0.50053513,160.0,0.030266803,3,session_0,15,1,002-2014,TANG+SVM
0,0,0.98125,0.9176559,0.9125,0.91219294,96.88156,160.0,5.9532037,4,session_0,15,1,002-2014,ACM+MDM(Grid)
1,1,0.978125,0.9198039,0.91875,0.9187195,0.4729995,160.0,0.026940398,4,session_0,15,1,002-2014,Cov+EN
2,2,0.95625,0.8743736,0.86875,0.86826473,0.9208034,160.0,0.050293934,4,session_0,15,1,002-2014,CSP+LDA
3,3,0.9820312,0.924604,0.9125,0.9110111,518.7886,160.0,36.619495,4,session_0,15,1,002-2014,ACM+TGSP+SVM(Grid)
4,4,0.9640625,0.9034119,0.9,0.8996557,0.48849517,160.0,0.030336196,4,session_0,15,1,002-2014,FgMDM
5,5,0.9390625,0.8904692,0.8875,0.8872551,0.17972903,160.0,0.0109131485,4,session_0,15,1,002-2014,MDM
6,6,0.97734374,0.9156676,0.9125,0.91230404,0.5183982,160.0,0.03007859,4,session_0,15,1,002-2014,TANG+SVM
0,0,0.90546876,0.807451,0.80625,0.8060606,94.55608,160.0,1.287283,5,session_0,15,1,002-2014,ACM+MDM(Grid)
1,1,0.88125,0.82,0.81875,0.8185728,0.5433369,160.0,0.006464864,5,session_0,15,1,002-2014,Cov+EN
2,2,0.84375,0.7479902,0.74375,0.7430753,1.0010663,160.0,0.012656634,5,session_0,15,1,002-2014,CSP+LDA
3,3,0.9203125,0.859197,0.85625,0.85570467,518.8772,160.0,7.1789436,5,session_0,15,1,002-2014,ACM+TGSP+SVM(Grid)
4,4,0.86875,0.78809524,0.7875,0.7872549,0.2476757,160.0,0.0033599003,5,session_0,15,1,002-2014,FgMDM
5,5,0.771875,0.70907897,0.7,0.69762623,0.17550473,160.0,0.0018831709,5,session_0,15,1,002-2014,MDM
6,6,0.9015625,0.7955509,0.79375,0.7935113,0.627447,160.0,0.0074851685,5,session_0,15,1,002-2014,TANG+SVM
0,0,0.72734374,0.6939859,0.6875,0.6862908,95.2657,160.0,1.2251402,6,session_0,15,1,002-2014,ACM+MDM(Grid)
1,1,0.78828126,0.7105698,0.70625,0.7050392,0.5519732,160.0,0.006224169,6,session_0,15,1,002-2014,Cov+EN
2,2,0.7835938,0.7076564,0.7,0.69807,1.0246576,160.0,0.012217298,6,session_0,15,1,002-2014,CSP+LDA
3,3,0.7914063,0.68090564,0.675,0.67267776,519.8034,160.0,6.792222,6,session_0,15,1,002-2014,ACM+TGSP+SVM(Grid)
4,4,0.8257812,0.7335014,0.73125,0.7307297,0.2540478,160.0,0.0032034477,6,session_0,15,1,002-2014,FgMDM
5,5,0.68671876,0.64822555,0.64375,0.6415626,0.18109722,160.0,0.0018207694,6,session_0,15,1,002-2014,MDM
6,6,0.8101562,0.7695225,0.7625,0.7612284,0.6032003,160.0,0.006898273,6,session_0,15,1,002-2014,TANG+SVM
0,0,0.94375,0.85555553,0.85,0.8494118,55.489117,160.0,1.4787067,7,session_0,15,1,002-2014,ACM+MDM(Grid)
1,1,0.97578126,0.91437674,0.9125,0.91237754,0.36811256,160.0,0.008466,7,session_0,15,1,002-2014,Cov+EN
2,2,0.96171874,0.89987814,0.89375,0.8933878,0.64308983,160.0,0.015630957,7,session_0,15,1,002-2014,CSP+LDA
3,3,0.96875,0.91156864,0.90625,0.90583485,313.7625,160.0,8.319026,7,session_0,15,1,002-2014,ACM+TGSP+SVM(Grid)
4,4,0.9554688,0.85615313,0.85,0.8489246,0.1380444,160.0,0.0028897868,7,session_0,15,1,002-2014,FgMDM
5,5,0.90703124,0.8252233,0.81875,0.8178847,0.12599841,160.0,0.0025177514,7,session_0,15,1,002-2014,MDM
6,6,0.9710938,0.88553375,0.88125,0.880826,0.4326434,160.0,0.0125597045,7,session_0,15,1,002-2014,TANG+SVM
0,0,0.6140625,0.5763102,0.575,0.56704795,62.348106,160.0,1.7425965,8,session_0,15,1,002-2014,ACM+MDM(Grid)
1,1,0.98046875,0.9101891,0.90625,0.9059498,0.43299899,160.0,0.013050631,8,session_0,15,1,002-2014,Cov+EN
2,2,0.978125,0.9156163,0.9125,0.9122917,0.7970675,160.0,0.02399685,8,session_0,15,1,002-2014,CSP+LDA
3,3,0.98515624,0.9196569,0.91875,0.9186828,362.51596,160.0,11.980839,8,session_0,15,1,002-2014,ACM+TGSP+SVM(Grid)
4,4,0.96953124,0.9019281,0.9,0.8998899,0.17574406,160.0,0.004378687,8,session_0,15,1,002-2014,FgMDM
5,5,0.5804688,0.516117,0.51875,0.5112889,0.12026224,160.0,0.0024331147,8,session_0,15,1,002-2014,MDM
6,6,0.9734375,0.89061856,0.8875,0.88729185,0.4626612,160.0,0.013869105,8,session_0,15,1,002-2014,TANG+SVM
0,0,0.93359375,0.91696966,0.9125,0.9122174,73.61774,160.0,4.521443,9,session_0,15,1,002-2014,ACM+MDM(Grid)
1,1,0.946875,0.93952614,0.9375,0.93741435,0.5525912,160.0,0.037193652,9,session_0,15,1,002-2014,Cov+EN
2,2,0.9484375,0.92358726,0.91875,0.91846126,1.1203077,160.0,0.077410765,9,session_0,15,1,002-2014,CSP+LDA
3,3,0.953125,0.93090755,0.925,0.9246806,491.83826,160.0,34.56631,9,session_0,15,1,002-2014,ACM+TGSP+SVM(Grid)
4,4,0.9398438,0.9183585,0.9125,0.9121684,0.2368617,160.0,0.013485022,9,session_0,15,1,002-2014,FgMDM
5,5,0.9398438,0.9223478,0.91875,0.9185471,0.15788479,160.0,0.009419961,9,session_0,15,1,002-2014,MDM
6,6,0.96015626,0.9375252,0.93125,0.9309245,0.6001437,160.0,0.040489268,9,session_0,15,1,002-2014,TANG+SVM
0,0,0.740625,0.7037255,0.7,0.69871646,68.7267,160.0,3.9299905,10,session_0,15,1,002-2014,ACM+MDM(Grid)
1,1,0.734375,0.6753993,0.675,0.67411375,0.49044198,160.0,0.033144604,10,session_0,15,1,002-2014,Cov+EN
2,2,0.7078125,0.6695658,0.66875,0.6668748,1.1359745,160.0,0.07772739,10,session_0,15,1,002-2014,CSP+LDA
3,3,0.79375,0.73962885,0.7375,0.7370469,530.19574,160.0,36.935223,10,session_0,15,1,002-2014,ACM+TGSP+SVM(Grid)
4,4,0.69921875,0.6722129,0.66875,0.66731125,0.2454184,160.0,0.012419389,10,session_0,15,1,002-2014,FgMDM
5,5,0.69453126,0.6567647,0.65625,0.6556929,0.13419533,160.0,0.0063685314,10,session_0,15,1,002-2014,MDM
6,6,0.7046875,0.6567157,0.65625,0.65568066,0.6156617,160.0,0.04143052,10,session_0,15,1,002-2014,TANG+SVM
0,0,0.8617188,0.8068908,0.8,0.79909873,92.30763,160.0,1.2799424,11,session_0,15,1,002-2014,ACM+MDM(Grid)
1,1,0.9,0.8687652,0.85625,0.8550219,0.5669848,160.0,0.006923774,11,session_0,15,1,002-2014,Cov+EN
2,2,0.875,0.81820184,0.80625,0.804805,1.0121758,160.0,0.013095667,11,session_0,15,1,002-2014,CSP+LDA
3,3,0.91796875,0.8904692,0.88125,0.880321,509.89334,160.0,7.2047873,11,session_0,15,1,002-2014,ACM+TGSP+SVM(Grid)
4,4,0.90234375,0.8677202,0.85625,0.8551704,0.19454603,160.0,0.0026492528,11,session_0,15,1,002-2014,FgMDM
5,5,0.8296875,0.755125,0.74375,0.7416324,0.18060431,160.0,0.0018164509,11,session_0,15,1,002-2014,MDM
6,6,0.9359375,0.87460786,0.86875,0.86827374,0.6247813,160.0,0.007592412,11,session_0,15,1,002-2014,TANG+SVM
0,0,0.7757813,0.712757,0.70625,0.7033234,86.47876,160.0,1.6998552,12,session_0,15,1,002-2014,ACM+MDM(Grid)
1,1,0.8015625,0.7295546,0.725,0.7227522,0.3816526,160.0,0.0060535637,12,session_0,15,1,002-2014,Cov+EN
2,2,0.83671874,0.7410851,0.7375,0.7362083,0.6349262,160.0,0.010239307,12,session_0,15,1,002-2014,CSP+LDA
3,3,0.803125,0.7101214,0.70625,0.7043305,515.04517,160.0,10.294457,12,session_0,15,1,002-2014,ACM+TGSP+SVM(Grid)
4,4,0.784375,0.71904653,0.7125,0.7095291,0.12292957,160.0,0.0020143657,12,session_0,15,1,002-2014,FgMDM
5,5,0.6898438,0.64094883,0.6375,0.63458496,0.15830187,160.0,0.0019203163,12,session_0,15,1,002-2014,MDM
6,6,0.7828125,0.69067395,0.68125,0.6784627,0.40933388,160.0,0.0065810587,12,session_0,15,1,002-2014,TANG+SVM
0,0,0.6117188,0.5186991,0.51875,0.51177627,57.367096,160.0,1.857736,13,session_0,15,1,002-2014,ACM+MDM(Grid)
1,1,0.6890625,0.6831907,0.675,0.6711442,0.36073846,160.0,0.0076939357,13,session_0,15,1,002-2014,Cov+EN
2,2,0.640625,0.5978321,0.59375,0.58738583,0.6316745,160.0,0.014285273,13,session_0,15,1,002-2014,CSP+LDA
3,3,0.74375,0.69606704,0.68125,0.6761184,325.09854,160.0,10.809842,13,session_0,15,1,002-2014,ACM+TGSP+SVM(Grid)
4,4,0.68828124,0.66914696,0.6625,0.65820944,0.1530799,160.0,0.0041964944,13,session_0,15,1,002-2014,FgMDM
5,5,0.5914062,0.57091844,0.56875,0.5641907,0.128725,160.0,0.0032369036,13,session_0,15,1,002-2014,MDM
6,6,0.6859375,0.6654468,0.6625,0.660251,0.41566172,160.0,0.008894277,13,session_0,15,1,002-2014,TANG+SVM
0,0,0.54765624,0.55073905,0.50625,0.47217906,58.056973,160.0,1.8581051,14,session_0,15,1,002-2014,ACM+MDM(Grid)
1,1,0.625,0.64048135,0.63125,0.6258504,0.43071532,160.0,0.012529207,14,session_0,15,1,002-2014,Cov+EN
2,2,0.5859375,0.5930422,0.59375,0.58252895,0.8219893,160.0,0.024024853,14,session_0,15,1,002-2014,CSP+LDA
3,3,0.628125,0.6505501,0.6375,0.6300233,321.2123,160.0,10.717316,14,session_0,15,1,002-2014,ACM+TGSP+SVM(Grid)
4,4,0.6273438,0.62055194,0.6125,0.6053129,0.16818795,160.0,0.0034609765,14,session_0,15,1,002-2014,FgMDM
5,5,0.534375,0.49649203,0.5,0.48046103,0.15682936,160.0,0.003135581,14,session_0,15,1,002-2014,MDM
6,6,0.6515625,0.66181153,0.65,0.63862044,0.46595436,160.0,0.013427763,14,session_0,15,1,002-2014,TANG+SVM
0,0,0.77421874,0.698779,0.69375,0.69222015,170.49747,160.0,7.00833,1,session_0,15,1,002-2014,ACM+MDM(MDOP)
1,1,0.81640625,0.72917134,0.725,0.7238267,179.72081,160.0,16.026152,1,session_0,15,1,002-2014,ACM+TGSP+SVM(MDOP)
0,0,0.9109375,0.83918065,0.825,0.82066196,183.41302,160.0,19.415182,2,session_0,15,1,002-2014,ACM+MDM(MDOP)
1,1,0.91484374,0.872901,0.85625,0.85181904,187.59712,160.0,11.258827,2,session_0,15,1,002-2014,ACM+TGSP+SVM(MDOP)
0,0,1.0,1.0,1.0,1.0,169.71883,160.0,6.945533,3,session_0,15,1,002-2014,ACM+MDM(MDOP)
1,1,1.0,1.0,1.0,1.0,173.04454,160.0,6.983634,3,session_0,15,1,002-2014,ACM+TGSP+SVM(MDOP)
0,0,0.9828125,0.92512554,0.91875,0.91844904,186.84663,160.0,33.68152,4,session_0,15,1,002-2014,ACM+MDM(MDOP)
1,1,0.9867188,0.9607843,0.95625,0.9560968,195.51036,160.0,27.095772,4,session_0,15,1,002-2014,ACM+TGSP+SVM(MDOP)
0,0,0.82421875,0.7602026,0.75625,0.7559367,217.29732,160.0,13.7721,5,session_0,15,1,002-2014,ACM+MDM(MDOP)
1,1,0.9117187,0.8386687,0.83125,0.8299833,224.92203,160.0,21.973753,5,session_0,15,1,002-2014,ACM+TGSP+SVM(MDOP)
0,0,0.653125,0.6290372,0.625,0.62142396,211.47626,160.0,21.848787,6,session_0,15,1,002-2014,ACM+MDM(MDOP)
1,1,0.70390624,0.6919859,0.68125,0.6789678,216.30682,160.0,41.889286,6,session_0,15,1,002-2014,ACM+TGSP+SVM(MDOP)
0,0,0.9320313,0.84793574,0.84375,0.84330153,223.5544,160.0,21.808062,7,session_0,15,1,002-2014,ACM+MDM(MDOP)
1,1,0.9742187,0.9023156,0.9,0.89979184,224.9154,160.0,13.621045,7,session_0,15,1,002-2014,ACM+TGSP+SVM(MDOP)
0,0,0.578125,0.50926137,0.5125,0.5055965,219.95306,160.0,17.819458,8,session_0,15,1,002-2014,ACM+MDM(MDOP)
1,1,0.8539063,0.79427016,0.7875,0.78550804,226.47966,160.0,13.84797,8,session_0,15,1,002-2014,ACM+TGSP+SVM(MDOP)
0,0,0.9464844,0.9223478,0.91875,0.9185471,216.53166,160.0,13.668837,9,session_0,15,1,002-2014,ACM+MDM(MDOP)
1,1,0.9554688,0.94290334,0.9375,0.9372542,218.33363,160.0,25.657606,9,session_0,15,1,002-2014,ACM+TGSP+SVM(MDOP)
0,0,0.7109375,0.65088934,0.65,0.6496327,215.16551,160.0,10.047608,10,session_0,15,1,002-2014,ACM+MDM(MDOP)
1,1,0.728125,0.66916436,0.66875,0.6681683,217.15967,160.0,46.06912,10,session_0,15,1,002-2014,ACM+TGSP+SVM(MDOP)
0,0,0.84296876,0.7750101,0.7625,0.76055694,170.19682,160.0,15.514668,11,session_0,15,1,002-2014,ACM+MDM(MDOP)
1,1,0.928125,0.87583023,0.8625,0.8611513,173.48128,160.0,3.1427655,11,session_0,15,1,002-2014,ACM+TGSP+SVM(MDOP)
0,0,0.709375,0.6506386,0.64375,0.63705134,187.32918,160.0,26.215464,12,session_0,15,1,002-2014,ACM+MDM(MDOP)
